Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,ACRES PLANTED,ACRES HARVESTED,20-Aug,03-Sep,17-Sep,01-Oct,15-Oct,29-Oct,12-Nov,26-Nov,10-Dec,24-Dec,07-Jan,21-Jan,04-Feb,18-Feb,04-Mar,18-Mar,01-Apr,15-Apr,29-Apr,13-May,27-May,10-Jun,24-Jun,08-Jul,22-Jul,05-Aug,19-Aug
2015,YEAR,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,WHEAT,6300,2500,0.432654188,0.458709514,0.157778462,0.348771403,0.409232484,0.561924128,0.556002599,,0.481936242,0.070959518,0.23285062,0.581832336,0.577173256,,0.547828865,0.448493109,0.272112759,0.478088522,0.662452227,0.21603594,0.187413435,0.362073003,0.403161571,0.477340549,0.572565868,0.597222726,0.019029704
2015,YEAR,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,WHEAT,2900,1300,0.458387389,0.41533176,0.164647352,0.554320905,0.445305325,0.369411448,0.309151419,,0.259269159,0.151279797,0.091631079,0.283414941,0.362074179,,0.246177118,0.055786434,0.346121842,0.116799111,,0.089187338,0.301194207,0.285527668,0.446526969,0.535910025,0.481617555,0.425837394,0.270036957
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,WHEAT,11600,10000,0.499771449,0.458410451,0.405881791,0.231391821,0.32397121,0.366452655,0.370765572,0.051955388,0.051748318,0.223609643,,0.136971775,0.444854542,0.19549146,,0.262108952,0.354606483,0.289181093,0.649793595,0.286149355,0.332770239,0.397920291,0.44474341,0.464777395,0.412732544,0.389541243,0.424397323
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,WHEAT,28400,24000,0.59676912,0.31665095,0.446251413,0.22945602,0.231723355,0.293509423,0.244445292,0.045854633,0.332361349,0.363241206,0.056180626,0.188370012,0.419554326,0.069459271,,0.081899373,0.575197125,0.02663157,0.608427865,0.58088898,0.330957854,0.317296776,0.235550254,0.280518939,0.40098682,0.429235075,0.378538915
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,WHEAT,11900,9900,0.62964678,0.255659285,0.427513093,0.257263316,0.22797847,0.386682494,0.270940942,0.051092032,0.449561346,0.081225845,0.074261981,0.233005303,0.484661862,0.115628768,,0.085020729,0.197534408,0.019729446,0.666402264,0.626809477,0.356406546,0.355710174,0.516115033,0.322660452,0.425113789,0.48804856,0.484373337
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LEE,77,WHEAT,16400,13200,0.584298176,0.458849765,0.39548722,0.25416954,0.279044144,0.286321663,0.260109829,0.056448389,0.303905664,0.044462265,,0.126486161,0.446628761,0.118150514,,0.137290842,0.363653572,0.028956625,0.661914421,0.47242153,0.320850575,0.366081966,0.198989044,0.320435319,0.363906398,0.406235568,0.385012814
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,WHEAT,6800,5200,0.461001849,0.464387517,0.451464117,0.335349693,0.386350949,0.325440189,0.286637905,,,0.183696245,,0.318118258,0.37713106,,,0.086973995,0.352550751,0.048700551,0.542142426,0.27260711,0.372887015,0.347176842,0.414229192,0.48927799,0.485594808,0.455641697,0.349008169
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,WHEAT,16000,13600,0.566800832,0.523702428,0.47531361,0.342029198,0.369696267,0.345063187,0.320769933,0.035697991,0.1401215,0.050953693,,0.149416419,0.39625075,0.147034903,,0.23996444,0.339615527,0.03818886,0.624005708,0.263018013,0.247729536,0.459296006,0.267131977,0.476061669,0.48085846,0.497020428,0.496960173
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,WHEAT,26800,20000,0.543227899,0.377506375,0.409686358,0.321908879,0.323583022,0.29413685,0.353325861,0.062875883,0.249248998,0.053381554,,0.118798086,0.404535296,0.240562656,,0.061867545,0.351239375,0.032057497,0.577040206,0.406259878,0.345978727,0.378861495,0.272016092,0.389171042,0.427367383,0.438481574,0.46382372
2015,YEAR,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,WHEAT,3300,2600,0.400614412,0.480616041,0.451691941,0.378533731,0.358677486,0.327226178,0.315446283,0.034548451,0.068739193,0.156416971,,0.089615314,0.386005332,0.120455829,,0.147442537,0.408334115,0.055748114,0.565682222,0.285831989,0.284917985,0.341439529,0.354789969,0.51906999,0.476475165,0.438345001,0.458767768
